,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
182,Itarema,0,BR,1593576301,86,-2.92,-39.92,74.7,9.06
183,Peto,12,MX,1593576302,96,20.13,-88.92,74.66,2.55
184,Puerto Escondido,100,MX,1593576303,73,15.85,-97.07,81.95,5.12
185,Ocós,98,GT,1593576304,78,14.51,-92.19,81.23,2.19
186,Bredasdorp,0,ZA,1593576141,93,-34.53,20.04,46.4,4.7
187,Ishigaki,75,JP,1593576306,75,24.34,124.16,89.6,19.46
188,Jaciara,100,BR,1593576308,58,-15.97,-54.97,72.18,2.93
189,Tiarei,20,PF,1593576309,54,-17.53,-149.33,80.6,10.29
190,Dovolnoye,100,RU,1593576310,68,54.5,79.67,72.86,7.74
191,Grand Baie,8,MU,1593576311,77,-20.02,57.58,70.0,3.0
192,Kasongo-Lunda,60,CD,1593576312,57,-6.47,16.82,64.92,1.41
193,Shekhupura,20,PK,1593576073,63,31.71,73.98,91.4,5.82
194,Alghero,0,IT,1593576315,88,40.56,8.32,70.0,3.36
195,Forsytheganj,25,BY,1593576316,87,52.63,29.73,60.73,6.96
196,Nālūt,0,LY,1593576317,35,30.33,10.85,76.55,9.89
197,Chinsali,61,ZM,1593576318,88,-10.54,32.08,56.7,8.7
198,Oktyabr'skiy,18,RU,1593576319,72,54.48,53.47,55.08,2.66
199,Vila Franca do Campo,75,PT,1593576320,88,37.72,-25.43,66.2,8.05
200,Zaozyornoye,1,UA,1593576321,73,45.16,33.28,75.96,0.56
201,Thompson,40,CA,1593576274,82,55.74,-97.86,62.6,10.29
202,Dubovka,45,RU,1593576324,37,49.06,44.83,71.6,11.18
203,Pangnirtung,27,CA,1593576158,62,66.15,-65.71,44.94,2.13
204,Haines Junction,21,CA,1593576326,41,60.75,-137.51,60.82,5.57
205,Iqaluit,20,CA,1593576110,80,63.75,-68.51,39.2,2.39
206,Ancud,90,CL,1593576328,93,-41.87,-73.82,50.0,14.99
207,Tailai,87,CN,1593576329,37,46.38,123.4,83.89,11.18
208,Margate,81,GB,1593576331,83,51.38,1.39,60.01,3.0
209,Mīzan Teferī,100,ET,1593576332,80,6.98,35.58,62.44,1.16
210,Codrington,0,AU,1593576333,58,-38.27,141.97,59.88,19.3
211,Songea,20,TZ,1593576334,87,-10.68,35.65,59.0,3.36
212,Lālmohan,88,BD,1593576335,67,22.34,90.74,87.98,6.11
213,Tocopilla,6,CL,1593576336,62,-22.09,-70.2,60.49,2.35
214,Mitsamiouli,34,KM,1593576337,72,-11.38,43.28,77.43,19.75
215,Sovetskiy,100,RU,1593576338,47,61.36,63.58,58.37,2.98
216,Departamento de Maldonado,90,UY,1593576339,93,-34.67,-54.92,53.01,23.04
217,Elko,1,US,1593576341,18,41.0,-115.5,71.6,5.82
218,Pisco,75,PE,1593576342,82,-13.7,-76.22,62.6,3.36
219,Poli,75,TZ,1593576343,87,-3.33,36.8,60.8,6.93
220,Broken Hill,0,AU,1593576186,23,-31.95,141.43,69.8,17.22
221,Sørland,66,NO,1593576164,78,67.67,12.69,45.64,19.01
222,Mogadishu,93,SO,1593576346,77,2.04,45.34,78.96,19.6
223,Konya Province,0,TR,1593576347,39,38.17,32.5,64.4,6.93
224,Faanui,29,PF,1593576348,75,-16.48,-151.75,77.88,23.51
225,Kruisfontein,0,ZA,1593576350,51,-34.0,24.73,54.48,11.03
226,Ilulissat,100,GL,1593576351,75,69.22,-51.1,42.8,1.12
227,East London,0,ZA,1593576182,81,-33.02,27.91,53.6,4.7
228,Chingirlau,0,KZ,1593576353,66,51.09,54.08,58.6,10.87
229,Ebeltoft,15,DK,1593576354,87,56.19,10.68,57.2,12.75
230,Jalu,0,LY,1593576355,40,29.03,21.55,73.0,6.02
231,Katsuura,75,JP,1593576356,94,35.13,140.3,75.99,20.8
232,Esperance,90,AU,1593576357,81,-33.87,121.9,53.6,18.34
233,Guerrero Negro,0,MX,1593576153,78,27.98,-114.06,65.1,14.27
234,Rocha,100,UY,1593576272,88,-34.48,-54.33,50.9,32.73
235,Mayo,40,US,1593576361,83,38.89,-76.51,75.2,4.7
236,Acala,75,MX,1593576362,69,16.57,-92.8,78.8,5.82
237,Kalemie,60,CD,1593576363,69,-5.95,29.19,73.24,11.54
238,Port Hardy,75,CA,1593576183,76,50.7,-127.42,57.2,11.41
239,Cherskiy,72,RU,1593576365,52,68.75,161.3,55.85,19.26
240,Narsaq,98,GL,1593576081,81,60.92,-46.05,42.8,9.17
241,Myitkyina,95,MM,1593576368,89,25.38,97.4,81.81,1.97
242,Nyalikungu,100,TZ,1593576369,77,-3.18,33.78,60.55,8.79
243,Chivay,0,PE,1593576370,50,-15.64,-71.6,40.35,0.4
244,Kimbe,21,PG,1593576371,74,-5.55,150.14,84.22,5.23
245,Kirkenes,90,NO,1593576373,100,69.73,30.05,48.2,16.11
246,Turukhansk,80,RU,1593576374,69,65.82,87.98,59.2,14.97
247,Sur,68,OM,1593576375,71,22.57,59.53,85.28,10.74
248,Kenai,1,US,1593576367,51,60.55,-151.26,64.4,10.29
249,Talnakh,75,RU,1593576377,93,69.49,88.4,53.6,24.61
250,Polyarny,90,RU,1593576378,93,69.2,33.45,51.8,11.18
251,Camacha,40,PT,1593576169,88,33.08,-16.33,68.0,10.29
252,Ribeira Grande,71,PT,1593576117,92,38.52,-28.7,65.97,9.8
253,Nioro,96,GM,1593576255,77,13.35,-15.75,78.78,5.14
254,Vao,7,NC,1593576152,66,-22.67,167.48,67.86,17.96
255,Sosnovo-Ozerskoye,82,RU,1593576384,43,52.52,111.54,74.93,5.64
256,Filingué,54,NE,1593576385,51,14.35,3.32,86.72,8.43
257,Micheweni,7,TZ,1593576386,80,-4.97,39.83,76.48,15.48
258,Cabo San Lucas,0,MX,1593576387,88,22.89,-109.91,79.0,1.01
259,Fortuna,40,US,1593576223,87,40.6,-124.16,55.99,12.75
260,Clyde River,90,CA,1593576184,93,70.47,-68.59,35.6,2.24
261,Meulaboh,68,ID,1593576391,66,4.14,96.13,85.53,1.14
262,Włoszczowa,42,PL,1593576392,89,50.85,19.97,60.01,1.99
263,Korla,58,CN,1593576393,62,41.76,86.15,75.99,13.38
264,Boyolangu,61,ID,1593576394,75,-8.12,111.89,80.73,10.94
265,Nur-Sultan,75,KZ,1593576395,56,51.18,71.45,73.4,6.71
266,Wamba,79,NG,1593576396,95,8.93,8.6,72.07,2.37
267,Vanimo,100,PG,1593576397,65,-2.67,141.3,85.01,4.74
268,Talara,0,PE,1593576253,81,-4.58,-81.27,65.77,15.26
269,Nome,90,US,1593576400,87,64.5,-165.41,48.99,11.41
270,Ilesha,77,NG,1593576401,99,7.14,5.26,70.59,1.79
271,Umm Bāb,1,QA,1593576402,48,25.21,50.81,86.0,1.86
272,Nemuro,75,JP,1593576403,78,43.32,145.57,71.6,6.93
273,Kumul,0,CN,1593576404,17,42.8,93.45,84.42,4.99
274,Troitsko-Pechorsk,79,RU,1593576405,54,62.71,56.2,55.96,4.61
275,French Harbor,0,HN,1593576406,83,16.35,-86.43,82.06,15.41
276,Harlingen,75,US,1593576408,88,26.19,-97.7,84.0,13.87
277,Zhigansk,0,RU,1593576409,28,66.77,123.37,82.42,5.79
278,Nikolskoye,40,RU,1593576410,82,59.7,30.79,62.01,15.66
279,Guánica,3,PR,1593576411,77,17.97,-66.91,80.01,7.83
280,Yevlax,75,AZ,1593576412,64,40.61,47.15,71.6,5.82
281,Bengkulu,42,ID,1593576413,57,-3.8,102.27,85.41,3.36
282,Leningradskiy,95,RU,1593576414,95,69.38,178.42,36.1,5.53
283,Måløy,14,NO,1593576416,62,61.94,5.11,51.8,18.34
284,Kijabe,31,KE,1593576417,91,-0.93,36.58,51.01,2.37
285,Terrace Bay,87,CA,1593576418,75,48.78,-87.1,57.58,5.32
286,Hualmay,70,PE,1593576419,84,-11.1,-77.61,59.68,7.87
287,Clevelândia,70,BR,1593576421,97,-26.4,-52.47,46.11,8.77
288,Shimanovsk,23,RU,1593576422,31,52.0,127.7,88.72,10.04
289,Beloha,20,MG,1593576424,80,-25.17,45.05,60.76,6.69
290,Malibu,0,US,1593576425,94,34.01,-118.81,61.0,1.99
291,Caravelas,40,BR,1593576426,96,-17.71,-39.25,68.16,3.78
292,Nanortalik,84,GL,1593576427,87,60.14,-45.24,40.15,6.91
293,Dali,100,CN,1593576429,78,25.7,100.18,69.37,1.7
294,Boa Vista,75,BR,1593576430,83,2.82,-60.67,78.8,4.23
295,Conceição do Araguaia,0,BR,1593576244,83,-8.26,-49.26,71.6,4.7
296,Makakilo City,1,US,1593576432,48,21.35,-158.09,87.8,6.93
297,Cabedelo,10,BR,1593576433,84,-6.98,-34.83,75.49,8.14
298,Kodinsk,15,RU,1593576434,35,58.69,99.18,83.55,5.88
299,Novikovo,15,RU,1593576435,87,51.15,37.89,66.7,5.19
300,Clifton,1,US,1593576437,83,40.86,-74.16,71.6,4.7
301,Marabu,40,MY,1593576246,74,4.41,114.01,87.8,5.82
302,Sakaiminato,75,JP,1593576439,73,35.55,133.23,73.4,20.8
303,Kaoma,0,ZM,1593576440,80,-14.78,24.8,51.17,6.64
304,Winnemucca,1,US,1593576441,13,40.97,-117.74,75.2,6.93
305,Mercedes,96,AR,1593576442,94,-34.65,-59.43,46.99,3.0
306,Trzcianka,82,PL,1593576443,83,53.04,16.46,58.23,6.67
307,Malaryta,15,BY,1593576444,87,51.79,24.07,57.2,4.47
308,Port Lincoln,0,AU,1593576446,66,-34.73,135.87,61.9,29.82
309,Kelvington,100,CA,1593576447,97,52.17,-103.53,64.99,15.84
310,Atbasar,100,KZ,1593576448,73,51.8,68.33,61.86,8.93
311,Aykhal,97,RU,1593576449,50,66.0,111.5,75.2,6.71
312,Zhangye,0,CN,1593576450,15,38.93,100.45,83.21,4.14
313,Atar,0,MR,1593576451,41,20.52,-13.05,87.91,7.47
314,Sémbé,81,CG,1593576452,95,1.65,14.58,68.0,0.81
315,Urengoy,97,RU,1593576453,89,65.97,78.37,49.93,5.28
316,Neryungri,1,RU,1593576455,32,56.67,124.65,81.07,11.97
317,Rome,75,US,1593576348,93,43.21,-75.46,64.4,2.66
318,Merrill,1,US,1593576457,83,45.18,-89.68,78.8,4.7
319,Ponta do Sol,40,PT,1593576458,73,32.67,-17.1,69.8,10.29
320,Rehoboth,0,NA,1593576459,67,-23.32,17.08,40.08,1.61
321,Skjervøy,100,NO,1593576460,83,70.03,20.97,45.57,8.28
322,Carnarvon,0,AU,1593576461,64,-24.87,113.63,69.8,17.22
323,Praia,75,CV,1593576463,65,14.92,-23.51,77.0,5.82
324,Pringsewu,48,ID,1593576464,58,-5.36,104.97,86.31,3.24
325,Adrar,0,MR,1593576465,34,20.5,-10.07,90.34,10.45
326,Pundaguitan,94,PH,1593576466,70,6.37,126.17,83.97,4.65
327,Pevek,100,RU,1593576467,85,69.7,170.31,38.66,9.93
328,Kosum Phisai,40,TH,1593576468,79,16.25,103.07,84.2,8.05
329,Souillac,40,MU,1593576469,93,-20.52,57.52,62.6,6.93
330,Stanari,0,BA,1593576470,88,44.75,17.83,62.6,2.24
331,Buchanan,75,LR,1593576472,94,5.88,-10.05,75.2,6.51
332,Sechura,0,PE,1593576473,81,-5.56,-80.82,64.49,12.01
333,Edd,58,ER,1593576474,36,13.93,41.69,92.34,5.59
334,Egvekinot,100,RU,1593576475,93,66.32,-179.17,38.64,8.37
335,Agua Dulce,95,MX,1593576476,85,18.13,-94.13,81.46,1.83
336,Cidreira,44,BR,1593576477,75,-30.18,-50.21,56.52,27.34
337,Maceo,100,CO,1593576478,99,6.55,-74.79,66.33,3.49
338,Zhicheng,99,CN,1593576479,83,30.3,111.5,82.62,1.99
339,Sakakah,0,SA,1593576480,41,29.97,40.21,77.0,10.29
340,Bilibino,100,RU,1593576482,85,68.05,166.44,41.95,6.8
341,College,75,US,1593576483,71,64.86,-147.8,53.6,3.36
342,Santa Rosa,75,PH,1593576484,59,14.31,121.11,91.99,0.54
343,Lebedyn,4,UA,1593576485,91,50.59,34.48,63.43,6.85
344,Kozhva,100,RU,1593576486,63,65.11,57.05,53.31,8.43
345,Mandera,84,KE,1593576487,65,3.94,41.87,76.89,16.91
346,Marsaxlokk,0,MT,1593576489,77,35.84,14.54,73.99,4.7
347,Vangaindrano,5,MG,1593576490,84,-23.35,47.6,60.8,4.76
348,Rudnogorsk,31,RU,1593576491,31,57.26,103.75,87.53,4.68
349,Batemans Bay,42,AU,1593576209,41,-35.72,150.18,71.01,3.0
350,Pătulele,0,RO,1593576494,73,44.35,22.77,62.74,2.75
351,Srednekolymsk,2,RU,1593576495,36,67.45,153.68,62.56,12.19
352,Vestmannaeyjar,99,IS,1593576496,87,63.44,-20.27,49.21,12.77
353,Salalah,90,OM,1593576497,89,17.02,54.09,84.2,5.82
354,Deputatsky,100,RU,1593576498,36,69.3,139.9,62.73,10.09
355,Ponta Delgada,75,PT,1593576499,88,37.73,-25.67,66.2,8.05
356,Mount Isa,14,AU,1593576500,28,-20.73,139.5,82.4,9.17
357,Isangel,40,VU,1593576502,60,-19.55,169.27,75.2,9.17
358,Sitka,75,US,1593576503,76,57.05,-135.33,55.4,13.87
359,Biltine,98,TD,1593576504,56,14.53,20.92,82.02,8.48
360,Hobyo,70,SO,1593576365,68,5.35,48.53,79.88,27.72
361,Nieves,89,PH,1593576506,58,15.33,120.95,90.43,4.94
362,São Gabriel da Cachoeira,15,BR,1593576507,95,-0.13,-67.09,72.54,1.12
363,Callaguip,40,PH,1593576509,62,18.07,120.49,89.6,16.11
364,Arlit,0,NE,1593576510,13,18.74,7.39,86.05,6.33
365,Doha,0,QA,1593576241,26,25.29,51.53,96.8,2.51
366,Moctezuma,67,MX,1593576512,35,29.8,-109.67,84.58,7.76
367,Schneverdingen,100,DE,1593576513,99,53.12,9.8,55.99,6.87
368,Elizabeth City,90,US,1593576514,74,36.29,-76.25,80.6,6.93
369,Sangar,73,RU,1593576515,37,63.92,127.47,80.76,4.61
370,Joshīmath,50,IN,1593576516,47,30.57,79.57,73.99,5.19
371,Whitianga,0,NZ,1593576517,70,-36.83,175.7,53.01,1.99
372,Galveston,90,US,1593576519,89,29.37,-94.97,84.2,14.99
373,Crixás,29,BR,1593576520,62,-14.55,-49.97,67.15,1.97
